,Coefficient,Standard Error
Good Friday,-103.16,3.36
Easter Monday,-67.69,3.36
Early May Bank Holiday,-80.01,3.36
Late May Bank Holiday,-91.11,3.36
August Bank Holiday (England and Wales),-77.27,3.35
Christmas Day,-113.26,5.03
Christmas Eve,-35.32,3.5
Christmas Bank Holiday,-84.3,5.05
Boxing Day Bank Holiday,-70.55,3.5
New Year Bank Holiday,-108.68,3.67
Additional Holiday for Wedding of Kate and William,-136.1,10.07
Additional Holiday for Queens Diamond Jubilee,-89.29,10.07
Deviation from mean daily temperature,0.45,0.13
Deviation from mean daily rain fall,-0.4,0.06
